GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
coverage-report/common-library,com.EventmanagementbyMahesh.event.common,ApiResponse,26,0,0,0,7,0,3,0,3,0
coverage-report/common-library,com.EventmanagementbyMahesh.event.common.exception,UnauthorizedException,6,0,0,0,2,0,1,0,1,0
coverage-report/common-library,com.EventmanagementbyMahesh.event.common.exception,ResourceNotFoundException,6,0,0,0,2,0,1,0,1,0
coverage-report/common-library,com.EventmanagementbyMahesh.event.common.exception,BaseException,16,0,0,0,6,0,3,0,3,0
coverage-report/common-library,com.EventmanagementbyMahesh.event.common.exception,BadRequestException,6,0,0,0,2,0,1,0,1,0
coverage-report/common-library,com.EventmanagementbyMahesh.event.common.exception,GlobalExceptionHandler,129,0,0,0,30,0,7,0,7,0
coverage-report/common-library,com.EventmanagementbyMahesh.event.common.security,JwtFilter,55,0,4,0,15,0,5,0,3,0
coverage-report/common-library,com.EventmanagementbyMahesh.event.common.security,RateLimiterService,49,0,8,0,10,0,7,0,3,0
coverage-report/common-library,com.EventmanagementbyMahesh.event.common.security,JwtUtil,41,0,0,0,14,0,4,0,4,0
coverage-report/common-library,com.EventmanagementbyMahesh.event.common.service,EmailService,79,0,0,0,23,0,4,0,4,0
coverage-report/common-library,com.EventmanagementbyMahesh.event.common.filter,ConcurrentRequestTracker,52,0,4,0,13,0,6,0,4,0
coverage-report/common-library,com.EventmanagementbyMahesh.event.common.filter,CorrelationFilter,35,0,4,0,11,0,4,0,2,0
coverage-report/common-library,com.EventmanagementbyMahesh.event.common.config,CacheConfig.new CacheErrorHandler() {...},33,0,0,0,9,0,5,0,5,0
coverage-report/common-library,com.EventmanagementbyMahesh.event.common.config,CacheConfig,12,0,0,0,3,0,3,0,3,0
coverage-report/common-library,com.EventmanagementbyMahesh.event.common.config,CorsConfig,48,0,0,0,11,0,3,0,3,0
coverage-report/common-library,com.EventmanagementbyMahesh.event.common.config,RabbitMQConfig,35,0,0,0,8,0,6,0,6,0
coverage-report/common-library,com.EventmanagementbyMahesh.event.common.config,MailConfig,48,0,0,0,12,0,2,0,2,0
coverage-report/common-library,com.EventmanagementbyMahesh.event.common.config,CorsConfig.new WebMvcConfigurer() {...},36,0,0,0,8,0,2,0,2,0
coverage-report/common-library,com.EventmanagementbyMahesh.event.common.metrics,BookingMetrics,48,0,0,0,20,0,4,0,4,0
coverage-report/common-library,com.EventmanagementbyMahesh.event.common.dto,ErrorResponse,46,0,0,0,16,0,8,0,8,0
coverage-report/auth-service,com.EventmanagementbyMahesh.event.auth.security,SecurityConfig,178,0,0,0,30,0,7,0,7,0
coverage-report/auth-service,com.EventmanagementbyMahesh.event.auth.common,AdminInitializer,60,0,2,0,17,0,3,0,2,0
coverage-report/auth-service,com.EventmanagementbyMahesh.event.auth.common,SecurityBeansConfig,11,0,0,0,3,0,3,0,3,0
coverage-report/auth-service,com.EventmanagementbyMahesh.event.auth.controller,AuthController,72,0,0,0,17,0,9,0,9,0
coverage-report/auth-service,com.EventmanagementbyMahesh.event.auth.entity,User,72,0,0,0,22,0,20,0,20,0
coverage-report/auth-service,com.EventmanagementbyMahesh.event.auth.entity,Role,15,0,0,0,2,0,1,0,1,0
coverage-report/auth-service,com.EventmanagementbyMahesh.event.auth.dto.request,ResetPasswordRequest,24,0,0,0,7,0,7,0,7,0
coverage-report/auth-service,com.EventmanagementbyMahesh.event.auth.dto.request,VerifyOtpRequest,3,0,0,0,1,0,1,0,1,0
coverage-report/auth-service,com.EventmanagementbyMahesh.event.auth.dto.request,RegisterRequest,3,0,0,0,1,0,1,0,1,0
coverage-report/auth-service,com.EventmanagementbyMahesh.event.auth.dto.request,ForgotPasswordRequest,10,0,0,0,3,0,3,0,3,0
coverage-report/auth-service,com.EventmanagementbyMahesh.event.auth.dto.request,LoginRequest,3,0,0,0,1,0,1,0,1,0
coverage-report/auth-service,com.EventmanagementbyMahesh.event.auth.config,OpenApiConfig,3,0,0,0,1,0,1,0,1,0
coverage-report/auth-service,com.EventmanagementbyMahesh.event.auth.dto.response,AuthResponse,33,0,0,0,13,0,2,0,2,0
coverage-report/auth-service,com.EventmanagementbyMahesh.event.auth.dto.response,UserDto,46,0,0,0,15,0,10,0,10,0
coverage-report/auth-service,com.EventmanagementbyMahesh.event.auth.service,AuthService,645,0,38,0,121,0,38,0,19,0
coverage-report/auth-service,com.EventmanagementbyMahesh.event.auth,AuthApplication,23,0,0,0,7,0,3,0,3,0
coverage-report/event-service,com.EventmanagementbyMahesh.event.events.dto,UserDto,46,0,0,0,15,0,10,0,10,0
coverage-report/event-service,com.EventmanagementbyMahesh.event.events.dto,ReviewRequest.ReviewRequestBuilder,36,0,0,0,1,0,6,0,6,0
coverage-report/event-service,com.EventmanagementbyMahesh.event.events.dto,ReviewRequest,171,0,30,0,7,0,28,0,13,0
coverage-report/event-service,com.EventmanagementbyMahesh.event.events.dto,ReviewResponse,344,0,62,0,11,0,52,0,21,0
coverage-report/event-service,com.EventmanagementbyMahesh.event.events.dto,CreateEventRequest,3,0,0,0,1,0,1,0,1,0
coverage-report/event-service,com.EventmanagementbyMahesh.event.events.dto,ReviewResponse.ReviewResponseBuilder,73,0,0,0,1,0,10,0,10,0
coverage-report/event-service,com.EventmanagementbyMahesh.event.events.dto,EventResponse,36,0,0,0,14,0,2,0,2,0
coverage-report/event-service,com.EventmanagementbyMahesh.event.events.dto,UpdateEventRequest,3,0,0,0,1,0,1,0,1,0
coverage-report/event-service,com.EventmanagementbyMahesh.event.events.entity,Review.ReviewBuilder,92,0,0,0,1,0,12,0,12,0
coverage-report/event-service,com.EventmanagementbyMahesh.event.events.entity,Event,754,0,130,0,42,0,106,0,41,0
coverage-report/event-service,com.EventmanagementbyMahesh.event.events.entity,Review,435,0,78,0,15,0,65,0,26,0
coverage-report/event-service,com.EventmanagementbyMahesh.event.events.entity,Event.EventBuilder,157,0,0,0,1,0,19,0,19,0
coverage-report/event-service,com.EventmanagementbyMahesh.event.events.scheduler,EventCleanupScheduler,39,0,2,0,12,0,4,0,3,0
coverage-report/event-service,com.EventmanagementbyMahesh.event.events.exception,ReviewException,6,0,0,0,2,0,1,0,1,0
coverage-report/event-service,com.EventmanagementbyMahesh.event.events.config,RestTemplateConfig,7,0,0,0,2,0,2,0,2,0
coverage-report/event-service,com.EventmanagementbyMahesh.event.events.config,SecurityConfig,145,0,0,0,26,0,7,0,7,0
coverage-report/event-service,com.EventmanagementbyMahesh.event.events.config,DataInitializer,3,0,0,0,1,0,1,0,1,0
coverage-report/event-service,com.EventmanagementbyMahesh.event.events.config,OpenApiConfig,3,0,0,0,1,0,1,0,1,0
coverage-report/event-service,com.EventmanagementbyMahesh.event.events,EventServiceApplication,23,0,0,0,7,0,3,0,3,0
coverage-report/event-service,com.EventmanagementbyMahesh.event.events.controller,ReviewController,57,0,4,0,14,0,5,0,3,0
